"Region","Brewery","Tour name","URL","Location","Price (£pp)","Notes"
"Scotland","Tempest Brewing Co","Brewery Tours & Tap Sessions","https://www.tempestbrewco.com/pages/brewery-tours","Tweedbank, Scottish Borders (near Galashiels)","","Brewery tour plus a tap session (table in the 16-tap taproom to sample the beers). Runs Saturdays 12–6pm, booked by prior arrangement via tours@tempestbrewco.com. A short walk from Tweedbank rail station."
"Scotland","Traquair House Brewery","Brewery Tour & Ale Tasting","https://www.traquair.co.uk/brewery/","Innerleithen, Scottish Borders","9","Notable 18th-century brewery beneath the chapel of Scotland's oldest inhabited house – one of the oldest working breweries in Britain. 30-min guided tour with a tasting of its 3 ales; tour £9pp, tour + tasting ~£25pp. By pre-booking/arrangement (enquiries@traquair.co.uk). House & brewery open Apr–Oct + Nov weekends."
"Scotland","The Orkney Brewery","Orkney Brewery Tour","https://www.orkneybrewery.co.uk/visitor-centre/tours","Quoyloo, Orkney","12.75","Guided tour in a former Victorian schoolhouse (1 mile from Skara Brae) covering the building's history and brewing process, ending with sampling. Mon–Sat at 11:30, 12:30, 13:30 & 14:30. Adult £12.75, concession/group £11.50, family £33, under-18s £5. On-site Tasting Hall café and shop."
"North West England","Lancaster Brewery","Brewery Tours (Amber / Blonde / Red Tour)","https://www.lancasterbrewery.co.uk/visit-us/brewery-tours","Lancaster, Lancashire","","Three tiers: Amber (45-min tour + 5 samples), Blonde (tour + pizza + up to 3 pints), Red (tour + pizza & chips + up to 4 pints + 10% shop discount). Thu-Sun, selected slots. Pre-booking essential via own online calendar (lancaster-brewery.appointedd.com)."
"North West England","Seven Bro7hers Brewery","Brewery Tour and Tasting","https://www.sevenbro7hers.com/products/brewery-tour","Salford, Greater Manchester","20","Every Saturday 12pm, ~1.5-2 hrs. Starts with a half of Easy IPA, brewery history, tour, then a beer from the tap plus 4 more samples (6 total). 18+. Books directly on own site."
"North West England","Cloudwater Brew Co","Brewery Tour & Tasting","https://cloudwaterbrew.co/products/brewery-tour","Manchester, Greater Manchester","25","Saturdays 10:45am and Sundays 12pm, ~1.5 hrs. Tour of the brewing process plus tutored tasting of 4 pours of fresh beer at Unit 9 Taproom, Piccadilly Trading Estate."
"North West England","Track Brewing Company","Brewery Tour 2026","https://www.trackbrewing.co/collections/brewery-tours","Manchester, Greater Manchester","20","Guided brewery tour with tasting at Unit 18, Piccadilly Trading Estate; bookable direct on own site (also sold as gift cards). Check site for scheduled dates."
"North West England","The Runaway Brewery","Brewer-Led Brewery Tours & Tastings","https://www.therunawaybrewery.com/pages/brewery-tours-tastings","Stockport, Greater Manchester","","Brewer-led ~90-min tour of the working microbrewery ending with a tutored tasting of 4 Runaway beers in the tap room. Runs roughly once a month, usually Saturday; limited spaces, book ahead on own site. Private group tours (10-20) on request."
"North West England","Bowland Brewery","Brewery Tours (at Holmes Mill)","https://www.bowlandbrewery.com/brewery-tours/","Clitheroe, Lancashire","20","Held at Holmes Mill Beer Hall. Selected Friday evenings 6pm, ~1.5 hrs; includes tour, 3 thirds of Bowland Ale and a tutored tasting. Buy online; gift cards available. (Daytime scheduled/group slots also run by arrangement.)"
"North West England","Love Lane Brewery","Love Lane & Higsons Brewery Tour","https://www.lovelanebrewery.com/love-lane-brewery-tours/","Liverpool (Baltic Triangle), Merseyside","25","Fri 6-7pm, Sat & Sun 4-5pm, ~60 min. Guided tour, behind-the-scenes access, guided tastings and one complimentary pint. 18+ with ID. Advance booking on own site."
"North West England","Bowness Bay Brewing","Brewery Tours","https://www.bownessbaybrewing.co.uk/brewery-tours/","Kendal, Cumbria","20","Fri & Sat 2-4pm, ~2 hrs, at Castle Mills. Tour plus beer tasting (soft drinks for under-18s). Advance booking required (bookings close 1 week prior); min age 14."
"North West England","Keswick Brewing Company","Brewery Tour","https://www.keswickbrewery.co.uk/tour/","Keswick, Cumbria","17","The Old Brewery, Brewery Lane. Selected Fridays & Saturdays (1pm start, arrive 12:45), ~45 min. Welcome beer, history + brewing process, then 3 thirds back in the bar. Book online (own site) or phone the bar."
"North West England","The Bollington Brewing Co","Brewery Tour","https://bollingtonbrewing.co.uk/tours/","Macclesfield, Cheshire","30","At Brook Mill. Selected 2026 dates - weekday tours 7pm, weekend tours 1pm; ~1 hr. Tour, beer samples and pie & chips to finish in the Taproom. Book by email; vouchers on own shop (shop.bollingtonbrewing.co.uk)."
"Yorkshire & North East England","Black Sheep Brewery","Black Sheep Brewery Tour","https://www.blacksheepbrewery.com/products/black-sheep-brewery-tour","Masham, North Yorkshire","14","Runs Thu-Sat. Intro video with Paul & Jo Theakston, guided walk round the working brewhouse, finishes with a tasting of award-winning brews at the bar. Adult/senior-student/kids/family tickets. Book ahead (space limited)."
"Yorkshire & North East England","T&R Theakston","Brewery Tour","https://www.theakstons.co.uk/products/brewerytour","Masham, North Yorkshire","15","Mon-Sat, 11:00 and 14:00. ~45-min guided tour of the brewery plus beer sampling in the Paradise Bar; ~1.5 hrs total. 18+, book at least 48 hrs ahead, sensible footwear."
"Yorkshire & North East England","Brew York","Brewery Tours at Brew York","https://brewyork.co.uk/book-a-brewery-tour/","York, North Yorkshire","22","Fri (3:30/5:30pm), Sat & Sun (12:30/2:30/4:30pm). 60-75 min grain-to-glass tour with 4x1/3 pint samples plus a full pint of choice from the signature range."
"Yorkshire & North East England","Wold Top Brewery","Brewery Tour","https://www.woldtopbrewery.co.uk/product/brewery-tour","Wold Newton (near Driffield), East Riding of Yorkshire","15","Tuesdays 1pm and selected Saturdays 11am; ~1h15-1h30. Includes 2 half pints (or a bottle to take away) and a branded glass. 18+ for tastings. Farm-based brewery."
"Yorkshire & North East England","Great Newsome Brewery","Brewery Tour","https://www.greatnewsomebrewery.co.uk/shop/hidden/brewery-tour/","South Frodingham (near Hull), East Riding of Yorkshire","16.50","Selected Saturdays at 1pm (dates released through the year). Guided grain-to-glass tour of the farm brewery with a tasting of 3x1/3 pint samples. 18+, small groups; confirm preferred date after booking."
"Yorkshire & North East England","Wharfedale Brewery","Brewery Tours (Standard / Enhanced)","https://www.wharfedalebrewery.com/brewery-tours/","Ilkley, West Yorkshire","15","Standard £15 (3x1/3 tasters, tasting notes, beer mat, pen); Enhanced £25 (5x1/2 pints, souvenir glass). 45-min tour ending at their tap, The Flying Duck. Groups 2-16, book 7+ days ahead."
"Yorkshire & North East England","Saltaire Brewery","Brewery Tours","https://saltairebrewery.com/pages/tours-events","Shipley, West Yorkshire","15","Saturdays 1pm and 3pm, ~1.5 hrs, max 15 people. Access to brewhouse, packaging plant and taproom, ending with a free tasting flight. 18+, sensible shoes, no dogs on tour."
"Yorkshire & North East England","Northern Monk","Leeds Brewery Tours","https://www.northernmonk.com/pages/brewery-tours","Leeds, West Yorkshire","","Saturdays; ~1.5 hrs at the Old Flax Store (Holbeck). Brewing-methods talk plus 3x1/3 tasters of the core range and specials; visit the Refectory afterwards. Price not listed on page; private tours also available."
"Yorkshire & North East England","Kirkstall Brewery","Brewery Tours","https://www.kirkstallbrewery.com/events/brewery-tours","Leeds, West Yorkshire","","Saturdays 2pm and 4pm. Guided tour of the facility with a taste of three seasonal beers. Page is on the brewery's own site; checkout is handled via DesignMyNight."
"Yorkshire & North East England","Abbeydale Brewery","Brewery Tour","https://www.abbeydalebrewery.co.uk/product-category/tours-tickets/","Sheffield, South Yorkshire","25","Selected Saturdays, from 1pm, ~1 hr. Grain-to-glass tour with an expert brewer, a fresh-from-tank taste, a branded brewhouse glass and 2 beers to take home. Sold as dated products (e.g. 29 Aug, 26 Sep 2026)."
"Yorkshire & North East England","Full Circle Brew Co","Brewery Tour Ticket","https://www.fullcirclebrew.co.uk/products/craft-brewery-tour-ticket","Newcastle upon Tyne (Hoult's Yard), Tyne & Wear","15","Saturdays & Sundays 12:30pm (summer schedule). Tour of the 30hL brewhouse with a live Q&A and a flight of 3x1/3 pint fresh beers. 18+; involves stairs. Private tours for groups of 8+."
"Yorkshire & North East England","First & Last Brewery","Brewery Tour & Tasting","https://www.firstandlastbrewery.co.uk/products/brewery-tour-tasting","Bellingham, Northumberland","15","Selected Saturdays 3:00-4:30pm. Tells the F&L story and how the beer (including foraged beers) is made; ticket includes beer samples during the tour. Soft drinks for drivers/under-18s. Popular dates sell out."
"Yorkshire & North East England","Anarchy Brew Co","Brewery Tour and Tasting","https://www.anarchybrewco.com/events","Newcastle upon Tyne, Tyne & Wear","","Selected Friday evenings and Saturday afternoons; ~1-1.5 hrs. Starts with a beer sample, covers history and the brewing process, ends with tasting a selection in the taproom. 18+. Tour listed on the brewery's own events page; ticketing via See Tickets."
"Midlands","Wye Valley Brewery","Brewery Tour","https://www.wyevalleybrewery.co.uk/shop/brewery-tours/brewerytour-brewery-tour.html","Stoke Lacy, Herefordshire","35","Verified. Selected Saturdays 2pm-approx 4pm; guided tour of the 9-acre site, plus free beer, light snacks and a take-home gift pack. Bookable via add-to-cart."
"Midlands","Everards of Leicestershire","Everards Brewery Tour","https://everards.co.uk/brewery/tours","Enderby, Leicester, Leicestershire","","Verified tour page on own site (Everards Meadows Beer Hall). ~90 min guided brewhouse tour + beer tasting (3 x 1/3 pints included); brewing seen Thursdays; 18+. Price shown on shop.everards.co.uk checkout."
"Midlands","Castle Rock Brewery","Brewery Tours (Tier 1 / Tier 2)","https://www.castlerockbrewery.co.uk/brewery-tours/","Nottingham, Nottinghamshire","20","Verified. Set Saturday tours at 12pm; ~45 min, starts/ends at the Vat & Fiddle tap; 2 half pints + pour-your-own Harvest Pale. Tier 2 (from ~30) adds a meal. Bespoke weekday tours by arrangement."
"Midlands","Titanic Brewery","Titanic Brewery Tour","https://www.titanicbrewery.co.uk/brewery/brewery-tours","Burslem, Stoke-on-Trent, Staffordshire","19.95","Verified. Titanic story + brewing-process tour, samples in the Sample Room and a bottle to take home. Gift-box option ~52.95."
"Midlands","Purity Brewing Co.","Brewery Tours","https://www.puritybrewing.com/pages/brewery-tourse","Great Alne, Alcester, Warwickshire","","Verified. Regular Saturday daytime tours plus bookable private evening tours; ~90 min-2 hrs; visitor-centre drink, brewhouse, grounds and wetland water system. Book via brewerytours@puritybrewing.com."
"Midlands","Joule's Brewery","Joule's Brewery Tour","https://www.joulesbrewery.co.uk/about-us/brewery-tours/","Market Drayton, Shropshire","20","Verified. First Wednesday of the month (excl. Aug & Jan) at 7pm; history, ingredients, climb the 71-step malt tower, tastings and a hot pork bap supper. Tickets from the Red Lion Tap."
"Midlands","Black Country Ales","Black Country Ales Brewery Tour","https://shopblackcountryales.com/products/black-country-ales-brewery-tour","Lower Gornal, Dudley, West Midlands","20","Verified. Tower brewery behind the Old Bull's Head; monthly Saturdays (12/1/2pm slots), max 8, 18+; 3 x third-pint tastings (Fireside, Pig on the Wall, BFG) + a pint and a cob. 13 steps, not wheelchair accessible."
"Midlands","The Grainstore Brewery","Grainstore Brewery Tour","https://www.grainstorebrewery.com/tickets-vouchers-and-clubcards/grainstore-brewery-tour-bookings/","Oakham, Rutland","21.95","Verified. Sat & Sun, usually from 3pm; online booking calendar. Bronze/Silver/Gold packages: tour + 3 third-pint samples + ploughman's; Silver/Gold add unlimited real ale (1 hr) and a gift pack."
"Midlands","Blue Monkey Brewery","Brewery Tours","https://bluemonkeybrewery.com/brewery-tours/","Giltbrook, Nottingham, Nottinghamshire","25","Verified. Selected Saturdays 2-4pm, ~90 min; includes 3 pints and a branded glass. Buy voucher online then phone the brewery to book a date; 18+."
"Midlands","Lymestone Brewery","Brewery Tour","https://www.lymestonebrewery.net/brewery-tours","Stone, Staffordshire","25","Verified. Third Friday of the month (10 dates/yr), doors 7pm; talk/tour with Brad the Brewer, beef & ale stew (veg option) and tastings. Tickets online, by phone or in the shop."
"Midlands","Byatt's Brewery","Brewery Tours & Tastings","https://www.byattsbrewery.co.uk/brewery-tours-tastings/","Coventry, West Midlands","18","Verified. Tour (18 pp) includes a 'beer-ducation' + 3 pints of cask; Beer Tasting option 20 pp (8 x thirds). Runs as private group bookings (8-20), 18+, booked via phone/email; 'more dates coming soon'."
"Midlands","Hobsons Brewery Co","Hobsons Brewery Tour Ticket","https://www.hobsons-brewery.co.uk/products/hobsons-brewery-tour-ticket","Cleobury Mortimer, Shropshire","15","Verified. Set dates, 4-5pm tour followed by tasting in the Tap Room; includes admission, beer tasting and a pint token. Up to 12 per tour; 18+. Also runs 'Brewery Nights'."
"Midlands","Tollgate Brewery","Brewery Tour","https://tollgatebrewery.co.uk/product-category/tours/","Calke (National Forest), South Derbyshire","30","Verified. Select Saturdays; ~1 hr tour led by head brewer Dan on the Calke Abbey estate, plus beer tastings, Q&A, a pint and a pizza. Booked through the online shop."
"Midlands","Ludlow Brewing Company","Brewery Tours & Tastings","https://ludlowbrewery.co.uk/brewery-tours","Ludlow, Shropshire","10.50","Verified. Mon-Fri 3pm, Sat 2pm, up to 14 people; tour of the restored railway-shed brewery plus tutored tasting of 6 core cask ales. 20% off for rail travellers; book by phone/contact form."
"Midlands","Green Duck Brewery","Brewery Tours / Brewer for a Day Experience","https://greenduckbrewery.co.uk/shop/product-category/brewery-tours/","Stourbridge, West Midlands","100","Verified own-site booking. Saturday brewery tours 2-5pm (approx 50 min) at the taproom; the online-bookable product is the full 'Brewer for a Day Experience' (100). Contact brewery for standard tour dates."
"Midlands","Holden's Brewery","Brewery Tours","https://www.holdensbrewery.co.uk/brewery-tours/","Woodsetton, Dudley, West Midlands","","Own-site tour page; first Saturday of each month, pre-book only. Starts at the Park Inn brewery tap; ~90 min production tour + guided tasting; up to 12. Page returned a transient server error (HTTP 425) at check; details confirmed via the brewery's own listing. Book via beer@holdensbrewery.co.uk / 01902 880051."
"Midlands","Navigation Brewery","Tours","https://www.navigationbrewery.com/tours","Nottingham, Nottinghamshire","13","Own-site tours page; weekday evenings after 4:30pm and Sat/Sun (times vary with local football fixtures). Tour-only ~13pp, or add a meal in the brewery tap. Server was intermittently down (HTTP 522) during verification; content confirmed via listing."
"Midlands","Sadler's Ales","Sadler's Ales Brewery Tour","https://www.sadlersales.co.uk/products/sadlers-ales-brewery-tour-digital-voucher","Lye, Stourbridge, West Midlands","","Genuine public tour on own site: Saturdays from 12 noon, ~2 hrs; meet the brewer, walk the brewhouse, then ploughman's lunch and 2 pints back at the bar. The store's TLS/DNS failed to resolve at check; booking also confirmed by phone 01384 895230."
"Midlands","Two Towers Brewery","Brewery Tours / Brew Day Experience","https://twotowersbrewery.co.uk/","Birmingham (Gunmakers' Quarter), West Midlands","15","Own-site tour programme starting/finishing at the Gunmakers Arms tap; ~90 min, includes 4 half-pint tokens (Tour 15; Brew Day Experience ~99 with breakfast, lunch and a gift pack). JavaScript site did not render in WebFetch, so the tours sub-page URL couldn't be captured; details confirmed via listings."
"Midlands","Derby Brewing Company","Brewery Tours","https://derbybrewing.co.uk/tours","Derby, Derbyshire","25","Own-site tour offering: select Saturdays from 12 noon; tour of the brewery, plenty of samples, a brewers' Q&A and lunch at The Tap. The tour product page 404'd via WebFetch at check; book via marketing@derbybrewing.co.uk / 01332 365366."
"Midlands","Banks's (Carlsberg Marston's Park Brewery)","Park Brewery Tours","https://www.bankssbeer.co.uk/product-category/tours/","Wolverhampton, West Midlands","","Own-site tours category page loaded but showed 'no products' (no bookable dates) at check. Historic Victorian Park Brewery tours run Mon/Wed/Fri and Sat, finishing with three half pints; book by phone 01902 329653. Include with caution - online booking appeared unavailable at verification."
"Midlands","Church End Brewery","Brewery Tours (by arrangement)","https://www.churchendbrewery.co.uk/","Ridge Lane, Atherstone (near Nuneaton), Warwickshire","","Award-winning brewery with tours available by arrangement (with freshly cooked food), rather than a fixed public schedule. Open to visitors Fri & Sat; book direct on 01827 713080. Group/by-arrangement - noted per brief."
"Wales","Tiny Rebel","Tiny Rebel Brewery Tour","https://www.tinyrebel.co.uk/tours/1000","Rogerstone, Newport","27","Every Saturday when possible across three slots; ~75 min from hops to can; includes 2 beers plus samples; 18+. Bookable on own site (booking runs via the brewery's own Eventbrite listing); from ~£27."
"Wales","Grey Trees Brewery","Beer Tasting Brewery Tour","https://greytreesbrewery.com/a-brewery-tour/","Aberdare, Rhondda Cynon Taf","","90-min guided tour with hop/malt sampling, welcome drink, then 3 hours at the National Tap with unlimited bar and a buffet (cheese, cold meats, breads, chutney). Runs several times a year; specific dates 'to be confirmed', booked via the brewery's own Eventbrite."
"Wales","Conwy Brewery","Brewery Tour & Sampling","https://conwybrewery.co.uk/tours/","Llysfaen, Conwy","","Scheduled public tours Saturdays and Sundays at 2pm; grain-to-glass walk-round plus 3 complimentary 1/3-pint samples in the Mash Taproom and a bottle to take home. Pre-book by phone (01492 514305) or email; own-site tours page."
"Wales","Wye Valley Brewery","Brewery Tour","https://www.wyevalleybrewery.co.uk/shop/brewery-tours/brewerytour-brewery-tour.html","Stoke Lacy, Herefordshire (England, on the Welsh border)","35","Fully online-bookable dated tickets (£35pp) for selected Saturdays 2-4pm; guided tour of the 9-acre site, free beer and light snacks in the brewery bar, plus a gift pack. Note: technically just over the border in Herefordshire, England."
"Wales","Gower Brewery","Gower Brewery Tour","https://gowerbrewery.com/pages/brewery-tour-wales","Penclawdd (Crofty), Swansea","20","Typically the last Friday of the month at 4pm (advance booking essential, no walk-ins); guided tour past copper vessels and bottling line ending with a drink in the Brewery Taproom. £20 adult / £10 child; tickets via the site's Ticket Tailor link."
"Wales","Kingstone Brewery","Brewery Tours & Experience Days","https://kingstonebrewery.co.uk/product/brewery-tours/","Tintern, Monmouthshire","30","1-hour tour and tasting of the 4-barrel brewery (£30pp); also Half-Day (£50pp) and Full-Day hands-on brewing Experience Days (£100pp, max 4). Added to cart on own site with preferred date in order notes, confirmed after purchase."
"Wales","Harbwr Tenby Harbour Brewery","Hops and Hywel Brewery Tour & Tasting","https://harbwr.wales/visit-the-brewery/","Tenby, Pembrokeshire","","Group-only by prior arrangement (parties of 4-40): guided look at the 5-barrel brewery plus a tasting session; price depends on group size and food. No fixed public schedule or online booking - arrange via phone/email."
"Wales","Purple Moose Brewery","Brewery Tour","https://purplemoose.co.uk/","Porthmadog, Gwynedd","","Scheduled tour slots (seasonal, roughly Tue-Thu early afternoon; Wed only in winter) but by advance arrangement/group booking, not online-bookable. Includes a free pint and a 10%-off shop voucher. No dedicated tour page - homepage/shop only."
"Wales","Tomos Watkin Brewery","Brewery Tour","https://www.tomoswatkin.com/","Swansea (Enterprise Park), Swansea","","Hands-on guided tours run by trained brewery guides for small or large groups, arranged directly by phone (01792 342292) - no online booking page on their own site. Notable family brewer (est. 1996)."
"Wales","Felinfoel Brewery","Group Brewery Visit (by arrangement)","https://www.felinfoel.com/","Felinfoel, Llanelli, Carmarthenshire","","Oldest brewery in Wales (est. 1878; first in Europe to can beer). No public drop-in tours - group visits only, arranged directly by phone/email. Included as a notable historic brewer; no online booking."
"East of England & Northern Ireland","Adnams","Brewery Tour","https://adnams.co.uk/products/brewery-tour","Southwold, Suffolk","27.50","~90 min grain-to-glass tour ending with a tutored tasting (pale ale, lager, stout, bitter, barley wine) plus a voucher for a free memento; 18+; weekdays best for active brewing. Departs The Swan Courtyard."
"East of England & Northern Ireland","Woodforde's","Classic Brewery Tour","https://woodfordes.com/pages/brewery-tours","Woodbastwick (near Norwich), Norfolk","25","~90 min; weekends only, two slots (11:00 and 13:00). Tutored tasting in the Fur & Feather brewery tap plus 10% shop discount; 18+; multiple staircases, not wheelchair accessible."
"East of England & Northern Ireland","Greene King","Brewery Tour (also step-free Walk & Talk Tour)","https://shop.greeneking.co.uk/pages/brewery-tours","Bury St Edmunds, Suffolk","","~1h40 tour of the 1930s tower brewery incl. roof view (100+ stairs, enclosed shoes required), tutored tasting, free bottle/pint and 10% shop voucher. Under-16s not admitted on main tour; Walk & Talk is an outdoor no-brewery-entry alternative."
"East of England & Northern Ireland","Batemans","Brewery Tours","https://www.batemansbrewery.co.uk/our-brewery/brewery-tours/","Wainfleet, Lincolnshire","14.95","1.5-2h; Saturdays weekly (Apr-Dec) + one Wednesday a month; Victorian brewhouse and 'Theatre of Beers', pull-your-own samples included. Teens 12-17 £6.95; Sunday tour + lunch at the Woolpack £22.95. Must be pre-booked."
"East of England & Northern Ireland","Nethergate","Nethergate Brewery Tour","https://nethergate.co.uk/products/brewery-tour","Long Melford, Suffolk","20","1.5h; Tue/Wed/Thu/Sat 2pm, Fri 3pm. Brewhouse tour plus guided tasting of six half-pints; max 8 guests; pre-book at least 24h ahead."
"East of England & Northern Ireland","Duration Brewing","Brewery Tour & Tasting Experience","https://shop.durationbeer.com/product/brewery-tour/","West Acre (King's Lynn), Norfolk","25","First Saturday of each month, 12:00. 30-min tour of the 20HL Bavarian farmhouse brewhouse/canning line + tutored tasting of 3 fresh beers, Q&A with a founder and a keepsake glass; 18+."
"East of England & Northern Ireland","Barsham Brewery","Brewery Tour","https://www.barshambrewery.co.uk/tours","West Barsham (Fakenham), Norfolk","20","Selected Fridays 3pm and every third Saturday 3pm. Brewer-led grain-to-glass tour followed by a flight of 4 Barsham half-pints in the taproom; booked via the online shop."
"East of England & Northern Ireland","Docks Beers","Brewery Tour","https://docksbeers.com/book-a-brewery-tour/","Grimsby, Lincolnshire","20","Every Sunday 12pm, ~90 min; sample 6 beer styles plus a complimentary pint and 10% off takeaway/merch; max 12 people; 18+ with ID. Brewery set in an old church near the docks."
"East of England & Northern Ireland","Brentwood Brewing Company","Saturday Brewery Tour","https://www.brentwoodbrewing.co.uk/product/gifts-merchandise/brewery-tour/","Brentwood, Essex","15","Second Saturday of each month, 11:00 & 13:30, 90-120 min. Brewery walk-through with process talk, two on-tap tastings and a 4-pint takeaway container; 18+. (Site blocks automated fetches; details confirmed via listings.)"
"East of England & Northern Ireland","Ferry Ales Brewery","Brewery Tours","https://ferryalesbrewery.co.uk/brewery-tours/","Fiskerton (Lincoln), Lincolnshire","","Monthly, on a Saturday or Sunday; 1.5-2h covering the process from mashing-in to bottling, with tastings of award-winning beers and a branded tasting glass to take home; max 20. (Site blocks automated fetches; details confirmed via listings.)"
"East of England & Northern Ireland","BrewBoard","Brewery Tour & Beer Tasting","https://www.brewboard.co.uk/events/","Harston (near Cambridge), Cambridgeshire","","Monthly (Saturdays), ~2h; brewery story, hop and malt samples, and four beers shared. Listed on the brewery's own events page (ticketing handled via Helm Tickets)."
"East of England & Northern Ireland","Hilden Brewery","Brewery Tour (with lunch & beer flight)","https://hildenbrewery.com/hilden-brewery-tours/","Lisburn, County Antrim, Northern Ireland","20","Wed/Thu/Fri at noon; 45-min tour of both brewhouses plus traditional Irish stew lunch (vegan option) and a flight of beers. Ireland's oldest independent brewery. (Site's SSL certificate is currently expired.)"
"East of England & Northern Ireland","Whitewater Brewery","Guided Brewery Tour","https://whitewaterbrewery.com/tours/","Castlewellan, County Down, Northern Ireland","20","Guided tour into the working brewhouse followed by a tasting session; over-12s £15 (non-alcoholic drink), under-12s free (no production area). Booked online; sensible footwear required; production not guaranteed on the day."
"East of England & Northern Ireland","Boundary Brewing","Brewery Tour","https://boundarybrewing.coop/products/brewery-tour","Belfast, Northern Ireland","25","Saturdays; staff-led tour of the co-operative brewery followed by a tutored tasting of 3x thirds in the Taproom, plus Q&A. Private group tours by arrangement (taproom@boundarybrewing.coop)."
"East of England & Northern Ireland","Lacada Brewery","Full Tour","https://www.lacadabrewery.com/tours","Portrush, County Antrim, Northern Ireland","25","Fridays & Saturdays 3:15pm (min 4 people); 45min-1h covering all 7 stops with a curated tasting and hands-on ingredient sampling. Community co-op brewery; a shorter £10 'Spot Tour' (no tasting) is also offered."
"London","Fuller's (Griffin Brewery)","Fuller's Brewery Tour","https://www.fullersbrewery.co.uk/pages/brewery-tours","Chiswick, London (Greater London)","","~1h45m guided tour of the historic Griffin Brewery incl. samples of the full Fuller's range. Tours on the hour, Tue-Sat 11am-3pm. Approx. £56 for two people; book online via their tool or by phone."
"London","Sambrook's Brewery","Heritage Centre Tour","https://www.sambrooksbrewery.co.uk/pages/tours","Wandsworth, London (Greater London)","25","1-hour guided tour of the Ram Brewery heritage site (brewing since 1533) + working brewery; two 1/3-pint tasters plus two half-pint taproom tokens. Also a monthly Tasting & Tour (£50, first Thursday 6:30pm) and Brewer for the Day (£200/two)."
